touch_id,customer_id,touch_date,channel,campaign_name,outcome
CT000000001,CUST000001,2023-05-08,Email,Health Bundle Offer,Ignored
CT000000002,CUST000001,2024-01-14,SMS,Weekend Deal,Ignored
CT000000003,CUST000001,2024-08-22,Push,Subscribe & Save,Ignored
CT000000004,CUST000001,2023-07-19,Email,Subscribe & Save,Ignored
CT000000005,CUST000001,2024-01-19,Push,New Launch Promo,Ignored
CT000000006,CUST000001,2025-10-27,Email,Seasonal Sale,Ignored
CT000000007,CUST000001,2024-11-25,Push,Subscribe & Save,Ignored
CT000000008,CUST000001,2024-11-23,WhatsApp,Cart Abandon Reminder,Ignored
CT000000009,CUST000001,2023-05-20,Email,Cart Abandon Reminder,Ignored
CT000000010,CUST000001,2023-05-18,Search Ads,Subscribe & Save,Ignored
CT000000011,CUST000001,2023-11-08,Push,Subscribe & Save,Ignored
CT000000012,CUST000001,2024-05-06,Push,New Launch Promo,Ignored
CT000000013,CUST000001,2023-03-05,Social Ads,Health Bundle Offer,Clicked
CT000000014,CUST000001,2023-06-01,Push,Subscribe & Save,Ignored
CT000000015,CUST000001,2023-05-22,Push,New Launch Promo,Ignored
CT000000016,CUST000001,2024-10-25,SMS,New Launch Promo,Ignored
CT000000017,CUST000001,2025-07-26,Email,Subscribe & Save,Ignored
CT000000018,CUST000001,2023-07-23,Social Ads,Subscribe & Save,Ignored
CT000000019,CUST000001,2023-07-25,Email,Seasonal Sale,Ignored
CT000000020,CUST000001,2025-03-25,SMS,Reactivation Offer,Ignored
CT000000021,CUST000001,2023-05-13,Push,New Launch Promo,Ignored
CT000000022,CUST000001,2024-01-27,Push,Loyalty Bonus,Ignored
CT000000023,CUST000001,2025-05-22,Push,Seasonal Sale,Clicked
CT000000024,CUST000001,2024-01-16,Social Ads,Health Bundle Offer,Ignored
CT000000025,CUST000001,2024-05-11,Email,Reactivation Offer,Ignored
CT000000026,CUST000001,2024-10-22,Push,Cart Abandon Reminder,Ignored
CT000000027,CUST000001,2026-01-12,SMS,Reactivation Offer,Clicked
CT000000028,CUST000001,2025-04-20,Push,Loyalty Bonus,Ignored
CT000000029,CUST000002,2023-02-28,Email,New Launch Promo,Ignored
CT000000030,CUST000002,2023-05-30,Social Ads,Health Bundle Offer,Ignored
CT000000031,CUST000002,2024-10-06,Search Ads,Weekend Deal,Ignored
CT000000032,CUST000002,2025-09-30,Push,Weekend Deal,Converted
CT000000033,CUST000002,2023-05-31,Push,Health Bundle Offer,Ignored
CT000000034,CUST000002,2025-11-07,Push,Subscribe & Save,Ignored
CT000000035,CUST000002,2023-03-17,SMS,Loyalty Bonus,Ignored
CT000000036,CUST000002,2024-01-08,Email,Health Bundle Offer,Ignored
CT000000037,CUST000002,2024-12-25,Email,Cart Abandon Reminder,Ignored
CT000000038,CUST000002,2024-02-27,Search Ads,New Launch Promo,Ignored
CT000000039,CUST000002,2024-01-07,Email,Seasonal Sale,Ignored
CT000000040,CUST000002,2024-12-17,WhatsApp,Reactivation Offer,Ignored
CT000000041,CUST000002,2024-12-11,WhatsApp,Weekend Deal,Clicked
CT000000042,CUST000002,2023-05-15,Email,Subscribe & Save,Ignored
CT000000043,CUST000002,2023-11-28,Search Ads,New Launch Promo,Ignored
CT000000044,CUST000002,2024-09-26,WhatsApp,Subscribe & Save,Ignored
CT000000045,CUST000002,2025-03-21,Push,Subscribe & Save,Ignored
CT000000046,CUST000002,2025-06-08,WhatsApp,Reactivation Offer,Ignored
CT000000047,CUST000002,2023-11-11,Email,Weekend Deal,Ignored
CT000000048,CUST000002,2023-12-15,Email,Weekend Deal,Ignored
CT000000049,CUST000002,2024-07-25,Push,Health Bundle Offer,Ignored
CT000000050,CUST000002,2025-08-19,SMS,Weekend Deal,Converted
CT000000051,CUST000002,2023-04-24,Email,Loyalty Bonus,Ignored
CT000000052,CUST000002,2023-02-26,Social Ads,Loyalty Bonus,Ignored
CT000000053,CUST000002,2023-04-30,Email,Subscribe & Save,Clicked
CT000000054,CUST000002,2024-06-17,Social Ads,Cart Abandon Reminder,Ignored
CT000000055,CUST000002,2024-01-27,Email,Cart Abandon Reminder,Ignored
CT000000056,CUST000002,2023-06-03,Push,Reactivation Offer,Ignored
CT000000057,CUST000002,2023-05-19,Social Ads,Weekend Deal,Ignored
CT000000058,CUST000002,2024-12-20,WhatsApp,Seasonal Sale,Ignored
CT000000059,CUST000002,2025-05-03,Push,New Launch Promo,Ignored
CT000000060,CUST000003,2023-03-06,WhatsApp,Weekend Deal,Ignored
CT000000061,CUST000003,2026-02-06,Social Ads,Reactivation Offer,Ignored
CT000000062,CUST000003,2024-07-14,Search Ads,Health Bundle Offer,Ignored
CT000000063,CUST000003,2023-04-22,SMS,Cart Abandon Reminder,Ignored
CT000000064,CUST000003,2025-01-29,WhatsApp,Weekend Deal,Ignored
CT000000065,CUST000003,2023-05-31,SMS,Seasonal Sale,Ignored
CT000000066,CUST000003,2023-09-21,Email,Health Bundle Offer,Ignored
CT000000067,CUST000003,2025-09-02,Email,Weekend Deal,Ignored
CT000000068,CUST000003,2023-05-25,Search Ads,Loyalty Bonus,Ignored
CT000000069,CUST000003,2023-05-18,Email,Cart Abandon Reminder,Ignored
CT000000070,CUST000003,2024-04-21,Email,Reactivation Offer,Ignored
CT000000071,CUST000003,2023-06-21,SMS,Seasonal Sale,Clicked
CT000000072,CUST000003,2024-07-03,Social Ads,New Launch Promo,Ignored
CT000000073,CUST000003,2023-10-16,Email,Loyalty Bonus,Ignored
CT000000074,CUST000003,2024-06-13,Search Ads,Seasonal Sale,Ignored
CT000000075,CUST000003,2024-03-12,Push,New Launch Promo,Converted
CT000000076,CUST000003,2024-09-02,Push,Loyalty Bonus,Ignored
CT000000077,CUST000003,2024-01-22,Social Ads,New Launch Promo,Ignored
CT000000078,CUST000003,2023-05-22,Email,Loyalty Bonus,Ignored
CT000000079,CUST000003,2024-01-26,Email,Subscribe & Save,Ignored
CT000000080,CUST000003,2023-03-14,Email,Subscribe & Save,Converted
CT000000081,CUST000003,2025-02-02,Email,New Launch Promo,Ignored
CT000000082,CUST000003,2023-07-12,Search Ads,Health Bundle Offer,Ignored
CT000000083,CUST000003,2024-01-24,Social Ads,New Launch Promo,Ignored
CT000000084,CUST000003,2024-11-07,Social Ads,Weekend Deal,Ignored
CT000000085,CUST000003,2023-03-16,Push,Subscribe & Save,Ignored
CT000000086,CUST000003,2023-05-13,WhatsApp,Cart Abandon Reminder,Ignored
CT000000087,CUST000004,2023-03-13,WhatsApp,Cart Abandon Reminder,Ignored
CT000000088,CUST000004,2024-10-29,Social Ads,Weekend Deal,Ignored
CT000000089,CUST000004,2023-05-10,Social Ads,New Launch Promo,Ignored
CT000000090,CUST000004,2024-08-06,Social Ads,Seasonal Sale,Ignored
CT000000091,CUST000004,2023-03-09,SMS,Reactivation Offer,Ignored
CT000000092,CUST000004,2024-09-05,Email,Weekend Deal,Ignored
CT000000093,CUST000004,2023-05-18,Search Ads,Health Bundle Offer,Ignored
CT000000094,CUST000004,2024-05-15,SMS,Seasonal Sale,Ignored
CT000000095,CUST000004,2024-01-18,WhatsApp,Health Bundle Offer,Ignored
CT000000096,CUST000004,2023-03-19,Social Ads,Seasonal Sale,Ignored
CT000000097,CUST000004,2023-11-29,Social Ads,Seasonal Sale,Ignored
CT000000098,CUST000004,2023-12-15,Email,Subscribe & Save,Ignored
CT000000099,CUST000004,2024-06-07,Push,Reactivation Offer,Ignored
CT000000100,CUST000004,2023-05-16,Email,Reactivation Offer,Ignored
CT000000101,CUST000004,2023-03-07,Email,Reactivation Offer,Converted
CT000000102,CUST000004,2023-03-06,Email,Health Bundle Offer,Ignored
CT000000103,CUST000004,2023-05-07,Social Ads,Seasonal Sale,Converted
CT000000104,CUST000004,2024-05-12,Email,New Launch Promo,Ignored
CT000000105,CUST000004,2024-07-11,Push,Seasonal Sale,Ignored
CT000000106,CUST000004,2023-03-10,Social Ads,Loyalty Bonus,Ignored
CT000000107,CUST000004,2024-01-07,Email,Loyalty Bonus,Ignored
CT000000108,CUST000004,2023-08-20,SMS,Weekend Deal,Ignored
CT000000109,CUST000004,2024-01-07,Email,Subscribe & Save,Ignored
CT000000110,CUST000004,2024-12-18,Push,Health Bundle Offer,Ignored
CT000000111,CUST000004,2026-01-10,Email,Health Bundle Offer,Ignored
CT000000112,CUST000005,2025-09-23,SMS,Cart Abandon Reminder,Ignored
CT000000113,CUST000005,2026-01-26,WhatsApp,Seasonal Sale,Ignored
CT000000114,CUST000005,2023-07-11,WhatsApp,Reactivation Offer,Ignored
CT000000115,CUST000005,2023-04-27,SMS,Health Bundle Offer,Ignored
CT000000116,CUST000005,2023-09-06,Search Ads,Weekend Deal,Ignored
CT000000117,CUST000005,2023-05-08,Email,Subscribe & Save,Ignored
CT000000118,CUST000005,2025-09-28,SMS,Health Bundle Offer,Ignored
CT000000119,CUST000005,2023-05-26,Email,New Launch Promo,Ignored
CT000000120,CUST000005,2023-05-16,SMS,Reactivation Offer,Ignored
CT000000121,CUST000005,2024-09-02,WhatsApp,Reactivation Offer,Ignored
CT000000122,CUST000005,2025-11-09,Social Ads,Seasonal Sale,Ignored
CT000000123,CUST000005,2025-03-31,Push,Health Bundle Offer,Ignored
CT000000124,CUST000005,2025-08-12,SMS,Cart Abandon Reminder,Ignored
CT000000125,CUST000005,2025-04-25,Search Ads,Weekend Deal,Ignored
CT000000126,CUST000005,2024-02-09,Email,Loyalty Bonus,Ignored
CT000000127,CUST000005,2023-05-27,Search Ads,New Launch Promo,Ignored
CT000000128,CUST000005,2023-04-11,Push,Subscribe & Save,Ignored
CT000000129,CUST000005,2024-05-20,Push,Health Bundle Offer,Ignored
CT000000130,CUST000005,2024-02-02,Email,Cart Abandon Reminder,Ignored
CT000000131,CUST000005,2023-05-10,Push,Subscribe & Save,Converted
CT000000132,CUST000005,2024-06-01,Search Ads,Subscribe & Save,Ignored
CT000000133,CUST000005,2025-07-03,Email,Loyalty Bonus,Ignored
CT000000134,CUST000005,2023-05-22,Email,Subscribe & Save,Ignored
CT000000135,CUST000005,2023-05-08,Social Ads,Reactivation Offer,Ignored
CT000000136,CUST000005,2025-07-26,Search Ads,New Launch Promo,Ignored
CT000000137,CUST000005,2025-08-29,Social Ads,Loyalty Bonus,Ignored
CT000000138,CUST000005,2023-05-21,Email,Cart Abandon Reminder,Ignored
CT000000139,CUST000005,2024-02-14,SMS,New Launch Promo,Ignored
CT000000140,CUST000005,2026-01-20,SMS,Cart Abandon Reminder,Ignored
CT000000141,CUST000005,2024-08-17,Social Ads,Cart Abandon Reminder,Ignored
CT000000142,CUST000005,2024-01-19,Push,Reactivation Offer,Ignored
CT000000143,CUST000005,2023-08-16,Email,Cart Abandon Reminder,Clicked
CT000000144,CUST000005,2023-05-11,Email,Cart Abandon Reminder,Ignored
CT000000145,CUST000005,2025-01-10,WhatsApp,Reactivation Offer,Ignored
CT000000146,CUST000005,2025-07-01,Social Ads,Subscribe & Save,Ignored
CT000000147,CUST000005,2023-05-24,Push,Cart Abandon Reminder,Ignored
CT000000148,CUST000006,2024-01-23,Email,Subscribe & Save,Ignored
CT000000149,CUST000006,2023-02-26,SMS,Weekend Deal,Ignored
CT000000150,CUST000006,2025-01-21,SMS,Subscribe & Save,Ignored
CT000000151,CUST000006,2023-05-20,Search Ads,Weekend Deal,Ignored
CT000000152,CUST000006,2024-01-20,Push,Seasonal Sale,Ignored
CT000000153,CUST000006,2023-05-29,SMS,Cart Abandon Reminder,Ignored
